file,participant,context,label,trial,audio_key_for_duration,audio_duration_s,imu_duration_s_at_50hz,has_1khz_audio
105---Bathroom---Hair_dryer_in_use---1.pkl,105,Bathroom,Hair_dryer_in_use,1,Audio,11.859,12.28,False
105---Bathroom---Hair_dryer_in_use---2.pkl,105,Bathroom,Hair_dryer_in_use,2,Audio,10.933,11.32,False
105---Bathroom---Hair_dryer_in_use---3.pkl,105,Bathroom,Hair_dryer_in_use,3,Audio,10.797,11.18,False
105---Bathroom---Shaver_in_use---1.pkl,105,Bathroom,Shaver_in_use,1,Audio,11.57,11.98,False
105---Bathroom---Shaver_in_use---2.pkl,105,Bathroom,Shaver_in_use,2,Audio,11.358,11.76,False
105---Bathroom---Shaver_in_use---3.pkl,105,Bathroom,Shaver_in_use,3,Audio,10.797,11.18,False
105---Bathroom---Toilet_flushing---1.pkl,105,Bathroom,Toilet_flushing,1,Audio,8.422,8.72,False
105---Bathroom---Toilet_flushing---2.pkl,105,Bathroom,Toilet_flushing,2,Audio,7.417,7.68,False
105---Bathroom---Toilet_flushing---3.pkl,105,Bathroom,Toilet_flushing,3,Audio,8.055,8.34,False
105---Bathroom---Toothbrushing---1.pkl,105,Bathroom,Toothbrushing,1,Audio,11.222,11.62,False
105---Bathroom---Toothbrushing---2.pkl,105,Bathroom,Toothbrushing,2,Audio,11.184,11.58,False
105---Bathroom---Toothbrushing---3.pkl,105,Bathroom,Toothbrushing,3,Audio,10.005,10.36,False
105---Bathroom---Washing_hands---1.pkl,105,Bathroom,Washing_hands,1,Audio,11.048,11.44,False
105---Bathroom---Washing_hands---2.pkl,105,Bathroom,Washing_hands,2,Audio,11.396,11.8,False
105---Bathroom---Washing_hands---3.pkl,105,Bathroom,Washing_hands,3,Audio,11.165,11.56,False
105---Kitchen---Blender_in_use---2.pkl,105,Kitchen,Blender_in_use,2,Audio,10.642,11.02,False
105---Kitchen---Blender_in_use---3.pkl,105,Kitchen,Blender_in_use,3,Audio,10.797,11.18,False
105---Kitchen---Chopping---2.pkl,105,Kitchen,Chopping,2,Audio,10.933,11.32,False
105---Kitchen---Chopping---3.pkl,105,Kitchen,Chopping,3,Audio,8.885,9.2,False
105---Kitchen---Grating---2.pkl,105,Kitchen,Grating,2,Audio,10.121,10.48,False
105---Kitchen---Grating---3.pkl,105,Kitchen,Grating,3,Audio,12.053,12.48,False
105---Kitchen---Microwave---2.pkl,105,Kitchen,Microwave,2,Audio,30.651,31.62,False
105---Kitchen---Microwave---3.pkl,105,Kitchen,Microwave,3,Audio,29.629,30.64,False
105---Kitchen---Pouring_pitcher---2.pkl,105,Kitchen,Pouring_pitcher,2,Audio,10.469,10.84,False
105---Kitchen---Pouring_pitcher---3.pkl,105,Kitchen,Pouring_pitcher,3,Audio,11.55,11.9,False
105---Kitchen---Twisting_jar---2.pkl,105,Kitchen,Twisting_jar,2,Audio,8.112,8.4,False
105---Kitchen---Twisting_jar---3.pkl,105,Kitchen,Twisting_jar,3,Audio,9.213,9.54,False
105---Kitchen---Washing_Utensils---2.pkl,105,Kitchen,Washing_Utensils,2,Audio,13.79,14.28,False
105---Kitchen---Washing_Utensils---3.pkl,105,Kitchen,Washing_Utensils,3,Audio,11.261,11.66,False
105---Kitchen---Wiping_with_rag---2.pkl,105,Kitchen,Wiping_with_rag,2,Audio,11.182,11.58,False
105---Kitchen---Wiping_with_rag---3.pkl,105,Kitchen,Wiping_with_rag,3,Audio,11.995,12.42,False
105---Other---Other---12.pkl,105,Other,Other,12,1kHz_Audio,24.163,25.02,True
105---Other---Other---32.pkl,105,Other,Other,32,1kHz_Audio,9.483,9.82,True
105---Other---Other---34.pkl,105,Other,Other,34,1kHz_Audio,8.846,9.1,True
17---All---Other---1.pkl,17,All,Other,1,1kHz_Audio,20.491,21.16,True
17---All---Other---2.pkl,17,All,Other,2,1kHz_Audio,18.251,18.9,True
17---All---Other---3.pkl,17,All,Other,3,1kHz_Audio,20.761,21.5,True
17---Bathroom---Brushing_hair---1.pkl,17,Bathroom,Brushing_hair,1,Audio,17.285,17.9,False
17---Bathroom---Brushing_hair---2.pkl,17,Bathroom,Brushing_hair,2,Audio,16.281,16.86,False
17---Bathroom---Brushing_hair---3.pkl,17,Bathroom,Brushing_hair,3,Audio,17.923,18.56,False
17---Bathroom---Hair_dryer_in_use---1.pkl,17,Bathroom,Hair_dryer_in_use,1,Audio,17.865,18.5,False
17---Bathroom---Hair_dryer_in_use---2.pkl,17,Bathroom,Hair_dryer_in_use,2,Audio,17.227,17.84,False
17---Bathroom---Hair_dryer_in_use---3.pkl,17,Bathroom,Hair_dryer_in_use,3,Audio,17.827,18.46,False
17---Bathroom---Shaver_in_use---1.pkl,17,Bathroom,Shaver_in_use,1,Audio,17.884,18.52,False
17---Bathroom---Shaver_in_use---2.pkl,17,Bathroom,Shaver_in_use,2,Audio,17.788,18.42,False
17---Bathroom---Shaver_in_use---3.pkl,17,Bathroom,Shaver_in_use,3,Audio,17.807,18.44,False
17---Bathroom---Toilet_flushing---1.pkl,17,Bathroom,Toilet_flushing,1,Audio,10.159,10.46,False
17---Bathroom---Toilet_flushing---2.pkl,17,Bathroom,Toilet_flushing,2,Audio,7.204,7.42,False
17---Bathroom---Toilet_flushing---3.pkl,17,Bathroom,Toilet_flushing,3,Audio,5.91,6.12,False
17---Bathroom---Toothbrushing---1.pkl,17,Bathroom,Toothbrushing,1,Audio,18.289,18.94,False
17---Bathroom---Toothbrushing---2.pkl,17,Bathroom,Toothbrushing,2,Audio,17.266,17.88,False
17---Bathroom---Toothbrushing---3.pkl,17,Bathroom,Toothbrushing,3,Audio,17.286,17.9,False
17---Bathroom---Washing_hands---1.pkl,17,Bathroom,Washing_hands,1,Audio,16.745,17.34,False
17---Bathroom---Washing_hands---2.pkl,17,Bathroom,Washing_hands,2,Audio,17.112,17.72,False
17---Bathroom---Washing_hands---3.pkl,17,Bathroom,Washing_hands,3,Audio,17.48,18.1,False
17---Kitchen---Blender_in_use---1.pkl,17,Kitchen,Blender_in_use,1,Audio,16.282,16.8,False
17---Kitchen---Blender_in_use---2.pkl,17,Kitchen,Blender_in_use,2,Audio,17.343,17.96,False
17---Kitchen---Blender_in_use---3.pkl,17,Kitchen,Blender_in_use,3,Audio,17.034,17.64,False
17---Kitchen---Chopping---1.pkl,17,Kitchen,Chopping,1,Audio,16.436,17.02,False
17---Kitchen---Chopping---2.pkl,17,Kitchen,Chopping,2,Audio,16.706,17.3,False
17---Kitchen---Chopping---3.pkl,17,Kitchen,Chopping,3,Audio,16.088,16.66,False
17---Kitchen---Grating---1.pkl,17,Kitchen,Grating,1,Audio,16.997,17.6,False
17---Kitchen---Grating---2.pkl,17,Kitchen,Grating,2,Audio,16.437,17.02,False
17---Kitchen---Grating---3.pkl,17,Kitchen,Grating,3,Audio,16.861,17.46,False
17---Kitchen---Microwave---1.pkl,17,Kitchen,Microwave,1,Audio,18.947,19.62,False
17---Kitchen---Microwave---2.pkl,17,Kitchen,Microwave,2,Audio,19.835,20.54,False
17---Kitchen---Microwave---3.pkl,17,Kitchen,Microwave,3,Audio,18.947,19.56,False
17---Kitchen---Pouring_pitcher---1.pkl,17,Kitchen,Pouring_pitcher,1,Audio,9.735,10.08,False
17---Kitchen---Pouring_pitcher---2.pkl,17,Kitchen,Pouring_pitcher,2,Audio,10.7,11.08,False
17---Kitchen---Pouring_pitcher---3.pkl,17,Kitchen,Pouring_pitcher,3,Audio,8.208,8.5,False
17---Kitchen---Twisting_jar---1.pkl,17,Kitchen,Twisting_jar,1,Audio,4.732,4.9,False
17---Kitchen---Twisting_jar---2.pkl,17,Kitchen,Twisting_jar,2,Audio,5.466,5.66,False
17---Kitchen---Twisting_jar---3.pkl,17,Kitchen,Twisting_jar,3,Audio,5.331,5.52,False
17---Kitchen---Washing_Utensils---1.pkl,17,Kitchen,Washing_Utensils,1,Audio,15.065,15.6,False
17---Kitchen---Washing_Utensils---2.pkl,17,Kitchen,Washing_Utensils,2,Audio,16.976,17.58,False
17---Kitchen---Washing_Utensils---3.pkl,17,Kitchen,Washing_Utensils,3,Audio,17.073,17.68,False
17---Kitchen---Wiping_with_rag---1.pkl,17,Kitchen,Wiping_with_rag,1,Audio,20.801,21.54,False
17---Kitchen---Wiping_with_rag---2.pkl,17,Kitchen,Wiping_with_rag,2,Audio,21.071,21.82,False
17---Kitchen---Wiping_with_rag---3.pkl,17,Kitchen,Wiping_with_rag,3,Audio,25.92,26.84,False
17---Misc---Alarm_clock---1.pkl,17,Misc,Alarm_clock,1,Audio,22.712,23.42,False
17---Misc---Alarm_clock---2.pkl,17,Misc,Alarm_clock,2,Audio,20.28,20.9,False
17---Misc---Alarm_clock---3.pkl,17,Misc,Alarm_clock,3,Audio,27.194,28.02,False
17---Misc---Clapping---1.pkl,17,Misc,Clapping,1,Audio,17.093,17.7,False
17---Misc---Clapping---2.pkl,17,Misc,Clapping,2,Audio,14.853,15.38,False
17---Misc---Clapping---3.pkl,17,Misc,Clapping,3,Audio,16.302,16.88,False
17---Misc---Coughing---1.pkl,17,Misc,Coughing,1,Audio,9.116,9.44,False
17---Misc---Coughing---2.pkl,17,Misc,Coughing,2,Audio,11.975,12.4,False
17---Misc---Coughing---3.pkl,17,Misc,Coughing,3,Audio,11.125,11.52,False
17---Misc---Drinking---1.pkl,17,Misc,Drinking,1,Audio,5.949,6.16,False
17---Misc---Drinking---2.pkl,17,Misc,Drinking,2,Audio,9.425,9.76,False
17---Misc---Drinking---3.pkl,17,Misc,Drinking,3,Audio,6.721,6.96,False
17---Misc---Knocking---1.pkl,17,Misc,Knocking,1,Audio,4.307,4.46,False
17---Misc---Knocking---2.pkl,17,Misc,Knocking,2,Audio,6.895,7.14,False
17---Misc---Knocking---3.pkl,17,Misc,Knocking,3,Audio,5.929,6.14,False
17---Misc---Laughing---1.pkl,17,Misc,Laughing,1,Audio,17.673,18.3,False
17---Misc---Laughing---2.pkl,17,Misc,Laughing,2,Audio,20.009,20.72,False
17---Misc---Laughing---3.pkl,17,Misc,Laughing,3,Audio,21.323,22.08,False
17---Misc---Scratching---1.pkl,17,Misc,Scratching,1,Audio,15.877,16.44,False
17---Misc---Scratching---2.pkl,17,Misc,Scratching,2,Audio,13.52,14.0,False
17---Misc---Scratching---3.pkl,17,Misc,Scratching,3,Audio,14.466,14.98,False
17---Other---Other---19.pkl,17,Other,Other,19,1kHz_Audio,13.443,13.92,True
17---Other---Other---37.pkl,17,Other,Other,37,1kHz_Audio,37.972,39.26,True
17---Other---Other---60.pkl,17,Other,Other,60,1kHz_Audio,17.422,18.0,True
17---Workshop---Drill in use---1.pkl,17,Workshop,Drill in use,1,Audio,3.535,3.66,False
17---Workshop---Drill in use---2.pkl,17,Workshop,Drill in use,2,Audio,5.659,5.86,False
17---Workshop---Drill in use---3.pkl,17,Workshop,Drill in use,3,Audio,3.534,3.66,False
17---Workshop---Hammering---1.pkl,17,Workshop,Hammering,1,Audio,17.055,17.66,False
17---Workshop---Hammering---2.pkl,17,Workshop,Hammering,2,Audio,17.731,18.36,False
17---Workshop---Hammering---3.pkl,17,Workshop,Hammering,3,Audio,17.034,17.64,False
17---Workshop---Sanding---1.pkl,17,Workshop,Sanding,1,Audio,18.04,18.68,False
17---Workshop---Sanding---2.pkl,17,Workshop,Sanding,2,Audio,15.76,16.32,False
17---Workshop---Sanding---3.pkl,17,Workshop,Sanding,3,Audio,16.552,17.14,False
17---Workshop---Screwing---1.pkl,17,Workshop,Screwing,1,Audio,20.917,21.66,False
17---Workshop---Screwing---2.pkl,17,Workshop,Screwing,2,Audio,14.447,14.96,False
17---Workshop---Screwing---3.pkl,17,Workshop,Screwing,3,Audio,16.455,17.04,False
17---Workshop---Vacuum in use---1.pkl,17,Workshop,Vacuum in use,1,Audio,19.584,20.28,False
17---Workshop---Vacuum in use---2.pkl,17,Workshop,Vacuum in use,2,Audio,21.322,22.08,False
17---Workshop---Vacuum in use---3.pkl,17,Workshop,Vacuum in use,3,Audio,17.633,18.26,False
201---All---Other---1.pkl,201,All,Other,1,1kHz_Audio,22.791,23.38,True
201---All---Other---2.pkl,201,All,Other,2,1kHz_Audio,17.132,17.68,True
201---All---Other---3.pkl,201,All,Other,3,1kHz_Audio,17.035,17.46,True
201---Bathroom---Brushing_hair---1.pkl,201,Bathroom,Brushing_hair,1,Audio,17.749,18.38,False
201---Bathroom---Brushing_hair---2.pkl,201,Bathroom,Brushing_hair,2,Audio,13.616,14.1,False
201---Bathroom---Brushing_hair---3.pkl,201,Bathroom,Brushing_hair,3,Audio,13.036,13.5,False
201---Bathroom---Hair_dryer_in_use---1.pkl,201,Bathroom,Hair_dryer_in_use,1,Audio,13.133,13.6,False
201---Bathroom---Hair_dryer_in_use---2.pkl,201,Bathroom,Hair_dryer_in_use,2,Audio,11.55,11.96,False
201---Bathroom---Hair_dryer_in_use---3.pkl,201,Bathroom,Hair_dryer_in_use,3,Audio,11.955,12.38,False
201---Bathroom---Shaver_in_use---1.pkl,201,Bathroom,Shaver_in_use,1,Audio,11.357,11.76,False
201---Bathroom---Shaver_in_use---2.pkl,201,Bathroom,Shaver_in_use,2,Audio,12.457,12.9,False
201---Bathroom---Shaver_in_use---3.pkl,201,Bathroom,Shaver_in_use,3,Audio,15.701,16.26,False
201---Bathroom---Toilet_flushing---1.pkl,201,Bathroom,Toilet_flushing,1,Audio,8.769,9.08,False
201---Bathroom---Toilet_flushing---2.pkl,201,Bathroom,Toilet_flushing,2,Audio,8.937,9.22,False
201---Bathroom---Toilet_flushing---3.pkl,201,Bathroom,Toilet_flushing,3,Audio,9.464,9.8,False
201---Bathroom---Toothbrushing---1.pkl,201,Bathroom,Toothbrushing,1,Audio,13.346,13.82,False
201---Bathroom---Toothbrushing---2.pkl,201,Bathroom,Toothbrushing,2,Audio,13.037,13.5,False
201---Bathroom---Toothbrushing---3.pkl,201,Bathroom,Toothbrushing,3,Audio,12.11,12.54,False
201---Bathroom---Washing_hands---1.pkl,201,Bathroom,Washing_hands,1,Audio,12.361,12.8,False
201---Bathroom---Washing_hands---2.pkl,201,Bathroom,Washing_hands,2,Audio,18.618,19.28,False
201---Bathroom---Washing_hands---3.pkl,201,Bathroom,Washing_hands,3,Audio,11.761,12.18,False
201---Kitchen---Blender_in_use---1.pkl,201,Kitchen,Blender_in_use,1,Audio,11.299,11.7,False
201---Kitchen---Blender_in_use---2.pkl,201,Kitchen,Blender_in_use,2,Audio,12.226,12.66,False
201---Kitchen---Blender_in_use---3.pkl,201,Kitchen,Blender_in_use,3,Audio,12.709,13.16,False
201---Kitchen---Chopping---1.pkl,201,Kitchen,Chopping,1,Audio,14.408,14.92,False
201---Kitchen---Chopping---2.pkl,201,Kitchen,Chopping,2,Audio,14.968,15.5,False
201---Kitchen---Chopping---3.pkl,201,Kitchen,Chopping,3,Audio,13.443,13.92,False
201---Kitchen---Grating---1.pkl,201,Kitchen,Grating,1,Audio,11.955,12.38,False
201---Kitchen---Grating---2.pkl,201,Kitchen,Grating,2,Audio,13.578,14.06,False
201---Kitchen---Grating---3.pkl,201,Kitchen,Grating,3,Audio,12.651,13.1,False
201---Kitchen---Microwave---1.pkl,201,Kitchen,Microwave,1,Audio,40.869,42.24,False
201---Kitchen---Microwave---2.pkl,201,Kitchen,Microwave,2,Audio,38.203,39.44,False
201---Kitchen---Microwave---3.pkl,201,Kitchen,Microwave,3,Audio,36.716,37.92,False
201---Kitchen---Pouring_pitcher---1.pkl,201,Kitchen,Pouring_pitcher,1,Audio,10.353,10.72,False
201---Kitchen---Pouring_pitcher---2.pkl,201,Kitchen,Pouring_pitcher,2,Audio,16.707,17.12,False
201---Kitchen---Pouring_pitcher---3.pkl,201,Kitchen,Pouring_pitcher,3,Audio,16.823,17.34,False
201---Kitchen---Twisting_jar---1.pkl,201,Kitchen,Twisting_jar,1,Audio,4.249,4.4,False
201---Kitchen---Twisting_jar---2.pkl,201,Kitchen,Twisting_jar,2,Audio,4.809,4.98,False
201---Kitchen---Twisting_jar---3.pkl,201,Kitchen,Twisting_jar,3,Audio,4.617,4.78,False
201---Kitchen---Washing_Utensils---1.pkl,201,Kitchen,Washing_Utensils,1,Audio,11.878,12.3,False
201---Kitchen---Washing_Utensils---2.pkl,201,Kitchen,Washing_Utensils,2,Audio,12.033,12.46,False
201---Kitchen---Washing_Utensils---3.pkl,201,Kitchen,Washing_Utensils,3,Audio,11.8,12.22,False
201---Kitchen---Wiping_with_rag---1.pkl,201,Kitchen,Wiping_with_rag,1,Audio,14.216,14.72,False
201---Kitchen---Wiping_with_rag---2.pkl,201,Kitchen,Wiping_with_rag,2,Audio,13.346,13.82,False
201---Kitchen---Wiping_with_rag---3.pkl,201,Kitchen,Wiping_with_rag,3,Audio,17.209,17.82,False
201---Misc---Alarm_clock---1.pkl,201,Misc,Alarm_clock,1,Audio,16.57,17.16,False
201---Misc---Alarm_clock---2.pkl,201,Misc,Alarm_clock,2,Audio,16.668,17.2,False
201---Misc---Alarm_clock---3.pkl,201,Misc,Alarm_clock,3,Audio,16.398,16.94,False
201---Misc---Clapping---1.pkl,201,Misc,Clapping,1,Audio,11.298,11.7,False
201---Misc---Clapping---2.pkl,201,Misc,Clapping,2,Audio,10.835,11.22,False
201---Misc---Clapping---3.pkl,201,Misc,Clapping,3,Audio,10.16,10.52,False
201---Misc---Coughing---1.pkl,201,Misc,Coughing,1,Audio,9.347,9.68,False
201---Misc---Coughing---2.pkl,201,Misc,Coughing,2,Audio,7.319,7.58,False
201---Misc---Coughing---3.pkl,201,Misc,Coughing,3,Audio,7.494,7.76,False
201---Misc---Drinking---1.pkl,201,Misc,Drinking,1,Audio,10.873,11.08,False
201---Misc---Drinking---2.pkl,201,Misc,Drinking,2,Audio,11.182,11.56,False
201---Misc---Drinking---3.pkl,201,Misc,Drinking,3,Audio,9.0,9.32,False
201---Misc---Knocking---1.pkl,201,Misc,Knocking,1,Audio,3.979,4.12,False
201---Misc---Knocking---2.pkl,201,Misc,Knocking,2,Audio,3.168,3.28,False
201---Misc---Knocking---3.pkl,201,Misc,Knocking,3,Audio,3.786,3.92,False
201---Misc---Laughing---1.pkl,201,Misc,Laughing,1,Audio,7.705,7.98,False
201---Misc---Laughing---2.pkl,201,Misc,Laughing,2,Audio,11.008,11.4,False
201---Misc---Laughing---3.pkl,201,Misc,Laughing,3,Audio,8.478,8.78,False
201---Misc---Scratching---1.pkl,201,Misc,Scratching,1,Audio,10.602,10.98,False
201---Misc---Scratching---2.pkl,201,Misc,Scratching,2,Audio,11.337,11.74,False
201---Misc---Scratching---3.pkl,201,Misc,Scratching,3,Audio,12.689,13.14,False
201---Other---Other---12.pkl,201,Other,Other,12,1kHz_Audio,5.698,5.86,True
201---Other---Other---33.pkl,201,Other,Other,33,1kHz_Audio,19.469,20.1,True
201---Other---Other---9.pkl,201,Other,Other,9,1kHz_Audio,26.42,27.3,True
201---Workshop---Drill in use---1.pkl,201,Workshop,Drill in use,1,Audio,9.812,10.16,False
201---Workshop---Drill in use---2.pkl,201,Workshop,Drill in use,2,Audio,16.321,16.86,False
